id,word,traditional,pinyin,pos,level,lexical_pattern,default_surface_pattern,sandhi_tags,surface_label_needs_clip_review,forvo_url
L1-0001,爱,愛,ài,V,1,4,4,,False,https://forvo.com/word/爱/#zh
L1-0002,爱好,愛好,àihào,V/N,1,4-4,4-4,,False,https://forvo.com/word/爱好/#zh
L1-0003,八,八,bā,Num,1,1,1,,False,https://forvo.com/word/八/#zh
L1-0004,爸爸,爸爸,bàba,N,1,4-N,4-N,neutral_tone,False,https://forvo.com/word/爸爸/#zh
L1-0005,吧,吧,ba,Aux,1,N,N,neutral_tone,False,https://forvo.com/word/吧/#zh
L1-0006,白,白,bái,Adj,1,2,2,,False,https://forvo.com/word/白/#zh
L1-0007,白天,白天,báitiān,N,1,2-1,2-1,,False,https://forvo.com/word/白天/#zh
L1-0008,百,百,bǎi,Num,1,3,3,,False,https://forvo.com/word/百/#zh
L1-0009,班,班,bān,N/M,1,1,1,,False,https://forvo.com/word/班/#zh
L1-0010,半,半,bàn,Num,1,4,4,,False,https://forvo.com/word/半/#zh
L1-0011,半年,半年,bàn nián,,1,4-2,4-2,,False,https://forvo.com/word/半年/#zh
L1-0012,半天,半天,bàntiān,,1,4-1,4-1,,False,https://forvo.com/word/半天/#zh
L1-0013,帮,幫,bāng,V,1,1,1,,False,https://forvo.com/word/帮/#zh
L1-0014,帮忙,幫忙,bāngmáng,,1,1-2,1-2,,False,https://forvo.com/word/帮忙/#zh
L1-0015,包,包,bāo,N/M/V,1,1,1,,False,https://forvo.com/word/包/#zh
L1-0016,包子,包子,bāozi,N,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/包子/#zh
L1-0017,杯,杯,bēi,M,1,1,1,,False,https://forvo.com/word/杯/#zh
L1-0018,杯子,杯子,bēizi,N,1,1-N,1-N,neutral_tone,False,https://forvo.com/word/杯子/#zh
L1-0019,北,北,běi,N,1,3,3,,False,https://forvo.com/word/北/#zh
L1-0020,北边,北邊,běibian,N,1,3-1,3-1,,False,https://forvo.com/word/北边/#zh
L1-0021,北京,北京,Běijīng,N,1,3-1,3-1,,False,https://forvo.com/word/北京/#zh
L1-0022,本,本,běn,M,1,3,3,,False,https://forvo.com/word/本/#zh
L1-0023,本子,本子,běnzi,N,1,3-N,3-N,neutral_tone,False,https://forvo.com/word/本子/#zh
L1-0024,比,比,bǐ,Prep/V,1,3,3,,False,https://forvo.com/word/比/#zh
L1-0025,别,別,bié,Adv,1,2,2,,False,https://forvo.com/word/别/#zh
L1-0026,别的,別的,biéde,Pron,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/别的/#zh
L1-0027,别人,別人,biérén,Pron,1,2-N,2-N,neutral_tone,False,https://forvo.com/word/别人/#zh
L1-0028,病,病,bìng,N/V,1,4,4,,False,https://forvo.com/word/病/#zh
L1-0029,病人,病人,bìngrén,N,1,4-2,4-2,,False,https://forvo.com/word/病人/#zh
L1-0030,不大,不大,bù dà,,1,4-4,2-4,bu_before_t4,False,https://forvo.com/word/不大/#zh
L1-0031,不对,不對,bùduì,Adj,1,4-4,2-4,bu_before_t4,False,https://forvo.com/word/不对/#zh
L1-0032,不客气,不客氣,bù kèqì,,1,4-4-N,2-4-N,bu_before_t4;neutral_tone,False,https://forvo.com/word/不客气/#zh
L1-0033,不用,不用,bùyòng,Adv,1,4-4,2-4,bu_before_t4,False,https://forvo.com/word/不用/#zh
L1-0034,不,不,bù,Adv,1,4,4,,False,https://forvo.com/word/不/#zh
L1-0035,菜,菜,cài,N,1,4,4,,False,https://forvo.com/word/菜/#zh
L1-0036,茶,茶,chá,N,1,2,2,,False,https://forvo.com/word/茶/#zh
L1-0037,差,差,chà,V/Adj,1,4,4,,False,https://forvo.com/word/差/#zh
L1-0038,常,常,cháng,Adv,1,2,2,,False,https://forvo.com/word/常/#zh
L1-0039,常常,常常,chángcháng,Adv,1,2-2,2-2,,False,https://forvo.com/word/常常/#zh
L1-0040,唱,唱,chàng,V,1,4,4,,False,https://forvo.com/word/唱/#zh
